product_id,product_category,product_type,product_detail,unit_price,total_units,total_transactions,total_revenue,volume_rank,revenue_share_pct,revenue_rank,efficiency_score,product_efficiency_score,total_units_norm,total_revenue_norm,efficiency_score_norm,hero_score
59,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Lg,4.698205883318741,5035,3844,23655.46662250986,2,3.39,1,4.7,23655.46662250986,0.9624706802187328,0.999999999999957,0.13751263902237043,81.2
56,Drinking Chocolate,Hot chocolate,Dark chocolate Lg,4.450931889459859,5227,4080,23265.020986206684,1,3.33,2,4.45,23265.020986206684,0.9999999999998045,0.9832234374634349,0.1248736097004614,81.8
27,Coffee,Organic brewed coffee,Sustainably Grown Organic Lg,4.698205883318741,4301,3307,20206.9835041539,7,2.89,3,4.7,20206.9835041539,0.8189992181390111,0.8518265097312195,0.13751263902237043,69.6
1,Coffee,Barista Espresso,Latte Rg,4.203657895600978,4137,3188,17390.532714101246,8,2.49,4,4.2,17390.532714101246,0.7869429241593457,0.730810013663464,0.11223458037855236,63.0
3,Coffee,Barista Espresso,Cappuccino Lg,4.203657895600978,4111,3162,17281.23760881562,10,2.47,5,4.2,17281.23760881562,0.7818608287723257,0.7261138511294913,0.11223458037855236,62.6
2,Coffee,Barista Espresso,Latte,3.709109907883216,4488,3446,16646.48526657987,6,2.38,6,3.71,16646.48526657987,0.8555512118841173,0.6988399841052658,0.08746208290761061,63.9
11,Coffee,Barista Espresso,Mocha Lg,4.945479877177622,3091,2383,15286.47830035603,26,2.19,7,4.95,15286.47830035603,0.5824863174353826,0.640403572483435,0.15015166834427948,51.9
58,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic Rg,3.709109907883216,3882,2966,14398.764662402644,14,2.06,8,3.71,14398.764662402644,0.73709929632511,0.6022605328975488,0.08746208290761061,55.3
5,Coffee,Barista Espresso,Latte Lg,4.698205883318741,3039,2308,14277.847679405651,28,2.04,9,4.7,14277.847679405651,0.5723221266613423,0.5970650046642624,0.13751263902237043,49.5
9,Coffee,Barista Espresso,Carmelized Honey Latte Lg,5.192753871036502,2538,1964,13179.209324690642,44,1.89,10,5.19,13179.209324690642,0.4743940578576086,0.549859008875936,0.1622851364933122,44.2
13,Coffee,Gourmet brewed coffee,Ethiopia Lg,3.461835914024335,3734,2858,12926.495302966867,16,1.85,11,3.46,12926.495302966867,0.7081704456605339,0.5390004611163884,0.07482305358570156,51.4
37,Tea,Brewed Chai tea,Morning Sunrise Chai Lg,3.956383901742097,3228,2506,12771.20723482349,23,1.83,12,3.96,12771.20723482349,0.6092650508208347,0.5323280853893867,0.10010111222951966,47.7
73,Coffee Beans,Whole Bean,Brazilian Whole Bean 12oz,14.836439631532864,848,662,12581.300807539868,60,1.8,13,14.84,12581.300807539868,0.144057857701301,0.5241682373665565,0.6501516683190014,39.7
26,Coffee,Organic brewed coffee,Sustainably Grown Organic Rg,3.709109907883216,3289,2577,12199.262487027898,22,1.75,14,3.71,12199.262487027898,0.6211884284596126,0.5077529181018785,0.08746208290761061,46.9
36,Tea,Brewed Chai tea,Morning Sunrise Chai Rg,2.472739938588811,4821,3641,11921.079243936658,3,1.71,15,2.47,11921.079243936658,0.9206411258794134,0.49580001572468585,0.024772497470941745,57.2
30,Coffee,Premium brewed coffee,Jamaican Coffee River Lg,3.709109907883216,3161,2441,11724.496418818846,25,1.68,16,3.71,11724.496418818846,0.5961688819388983,0.48735329804480293,0.08746208290761061,45.1
40,Tea,Brewed Black tea,Earl Grey Rg,2.472739938588811,4740,3629,11720.787308910963,4,1.68,17,2.47,11720.787308910963,0.9048084440967739,0.48719392601310707,0.024772497470941745,56.2
55,Drinking Chocolate,Hot chocolate,Dark chocolate Rg,3.461835914024335,3368,2607,11659.46335843396,21,1.67,18,3.46,11659.46335843396,0.6366301798278661,0.48455897508906814,0.07482305358570156,46.3
22,Coffee,Drip coffee,Our Old Time Diner Blend Lg,2.967287926306573,3926,3031,11649.572398679606,13,1.67,19,2.97,11649.572398679606,0.7456997654416055,0.4841339830045457,0.05005055611475984,50.2
47,Tea,Brewed herbal tea,Peppermint Rg,2.472739938588811,4532,3508,11206.45740168449,5,1.6,20,2.47,11206.45740168449,0.8641516810006129,0.4650943376179419,0.024772497470941745,53.7
29,Coffee,Premium brewed coffee,Jamaican Coffee River Rg,3.0661975238501253,3588,2739,11001.51671557425,18,1.57,21,3.07,11001.51671557425,0.679632525410344,0.45628850162663753,0.055106167843523436,46.5
10,Coffee,Barista Espresso,Mocha Rg,4.450931889459859,2457,1878,10935.939652402874,45,1.56,22,4.45,10935.939652402874,0.45856137607496894,0.453470804106254,0.1248736097004614,39.0
72,Coffee Beans,Whole Bean,Columbian Whole Bean 12oz,16.32008359468615,670,507,10934.45600843972,64,1.56,23,16.32,10934.45600843972,0.1092650508209325,0.45340705529357556,0.7249747219047029,37.0
54,Tea,Brewed Green tea,Jade Green Tea Lg,2.967287926306573,3638,2770,10794.993475903313,17,1.54,24,2.97,10794.993475903313,0.6894057857699981,0.4474146669018097,0.05005055611475984,46.5
39,Tea,Brewed Chai tea,Traditional Blend Chai Lg,2.967287926306573,3638,2797,10794.993475903313,17,1.54,24,2.97,10794.993475903313,0.6894057857699981,0.4474146669018097,0.05005055611475984,46.5
12,Coffee,Gourmet brewed coffee,Ethiopia Rg,2.967287926306573,3550,2715,10533.872138388335,19,1.51,25,2.97,10533.872138388335,0.6722048475370069,0.43619487587041816,0.05005055611475984,45.3
45,Tea,Brewed Black tea,Darjeeling Rg,2.5716495361323632,3983,3042,10242.880102415204,12,1.47,26,2.57,10242.880102415204,0.7568412822516112,0.42369160874376893,0.029828109199705344,47.8
52,Tea,Brewed Green tea,Serenity Green Tea Lg,2.967287926306573,3449,2665,10234.17605783137,20,1.46,27,2.97,10234.17605783137,0.6524628616105057,0.4233176157093892,0.05005055611475984,44.0
38,Tea,Brewed Chai tea,Traditional Blend Chai Rg,2.472739938588811,4130,3167,10212.41594637179,9,1.46,28,2.47,10212.41594637179,0.7855746677089942,0.42238263312343993,0.024772497470941745,48.8
49,Tea,Brewed herbal tea,Lemon Grass Rg,2.472739938588811,4092,3109,10118.451828705414,11,1.45,29,2.47,10118.451828705414,0.7781469898356571,0.41834520832047706,0.024772497470941745,48.4
69,Bakery,Pastry,Almond Croissant,3.956383901742097,2553,1989,10100.648101147573,43,1.45,30,3.96,10100.648101147573,0.47732603596550477,0.41758022256833666,0.10010111222951966,37.8
19,Coffee,Gourmet brewed coffee,Ethiopian Full Roast Lg,3.26401671893723,3076,2340,10040.115427450919,27,1.44,31,3.26,10040.115427450919,0.5795543393274863,0.4149792710110595,0.06471183012817432,41.1
74,Coffee Beans,Ground,Our Old Time Diner Blend Ground 12oz,13.84734365609734,725,562,10039.324150670573,62,1.44,32,13.85,10039.324150670573,0.12001563721655198,0.4149452716442978,0.6001011122042416,33.4
76,Branded,Merchandise,Afficionado T-Shirt,21.76011145958153,459,345,9987.891159947923,70,1.43,33,21.76,9987.891159947923,0.06802189210319233,0.4127353128047812,0.9999999999494439,39.2
67,Bakery,Biscotti,Ginger Biscotti,3.461835914024335,2848,2191,9859.308683141306,32,1.41,34,3.46,9859.308683141306,0.5349882720874638,0.4072104157059899,0.07482305358570156,39.2
66,Bakery,Biscotti,Chocolate Chip Biscotti,3.461835914024335,2700,2070,9346.956967865704,36,1.34,35,3.46,9346.956967865704,0.5060594214228877,0.3851958257277292,0.07482305358570156,37.1
53,Tea,Brewed Green tea,Jade Green Tea Rg,2.472739938588811,3766,2877,9312.338608725462,15,1.33,36,2.47,9312.338608725462,0.7144253322907125,0.38370835343190085,0.024772497470941745,44.4
